,0,1,Year,b_id
0,Distance from Public Transportation,0.6846771413260226,2015,0
1,Longitude,0.6210859929554298,2015,0
2,Rent Percent,0.6003179416699669,2015,0
3,Latitude,0.5910175598056018,2015,0
4,Education Percent,0.5381350827467215,2015,0
5,Sports Center Distance,0.5286638136284321,2015,0
6,Regular Percent,0.5011740415821904,2015,0
7,Public Wifi Distance,0.5007134605555477,2015,0
8,Owner Percent,0.499852379158729,2015,0
9,Health Provider Distance,0.485858175627401,2015,0
10,Immigration Percent,0.4692158140049956,2015,0
11,Computer Percent,0.4653788045631213,2015,0
12,Cellular Percent,0.4416748756673736,2015,0
13,Uninhabited Percent,0.3958222691464615,2015,0
14,Reported Barrio,0.0658907768715884,2015,0
15,Longitude,0.6520338227109725,2015,1
16,Latitude,0.6028330095563272,2015,1
17,Distance from Public Transportation,0.5938802615914782,2015,1
18,Public Wifi Distance,0.5400247134581644,2015,1
19,Education Percent,0.5243347233451939,2015,1
20,Health Provider Distance,0.4973706321109264,2015,1
21,Rent Percent,0.4967086082743242,2015,1
22,Sports Center Distance,0.4925883081436422,2015,1
23,Cellular Percent,0.4746798034026756,2015,1
24,Owner Percent,0.4653758868431055,2015,1
25,Computer Percent,0.4517471153454515,2015,1
26,Uninhabited Percent,0.4229667675528508,2015,1
27,Regular Percent,0.42265685833214217,2015,1
28,Immigration Percent,0.4025243240107437,2015,1
29,Reported Barrio,0.07357087658502426,2015,1
30,Latitude,0.5445245480402936,2015,2
31,Owner Percent,0.5399705685409977,2015,2
32,Distance from Public Transportation,0.5355683785155563,2015,2
33,Public Wifi Distance,0.5306963040575856,2015,2
34,Computer Percent,0.5173255509939496,2015,2
35,Sports Center Distance,0.5078331391420523,2015,2
36,Education Percent,0.5037713163623123,2015,2
37,Regular Percent,0.502193254703688,2015,2
38,Health Provider Distance,0.488142693616743,2015,2
39,Uninhabited Percent,0.4808699868278583,2015,2
40,Rent Percent,0.4800519361214834,2015,2
41,Longitude,0.4778057083891376,2015,2
42,Immigration Percent,0.4579123058227004,2015,2
43,Cellular Percent,0.4391315339035993,2015,2
44,Reported Barrio,0.12290129426241793,2015,2
45,Latitude,0.6798706585073937,2015,3
46,Education Percent,0.6045955787551556,2015,3
47,Computer Percent,0.5952145153536632,2015,3
48,Distance from Public Transportation,0.5856162043413167,2015,3
49,Rent Percent,0.5853281488277364,2015,3
50,Sports Center Distance,0.5642962439619184,2015,3
51,Cellular Percent,0.5635156248957283,2015,3
52,Regular Percent,0.5400295473329315,2015,3
53,Owner Percent,0.5051473179966681,2015,3
54,Immigration Percent,0.4899563371994815,2015,3
55,Uninhabited Percent,0.42744812308272573,2015,3
56,Public Wifi Distance,0.3991994820612237,2015,3
57,Longitude,0.3490327967550271,2015,3
58,Health Provider Distance,0.3361003675224148,2015,3
59,Reported Barrio,0.1061574579560256,2015,3
60,Longitude,0.6264471716650903,2015,4
61,Regular Percent,0.619244727853062,2015,4
62,Rent Percent,0.6124351876221295,2015,4
63,Education Percent,0.6098426178468497,2015,4
64,Computer Percent,0.6081365181051384,2015,4
65,Distance from Public Transportation,0.5997585792203961,2015,4
66,Latitude,0.592999210318347,2015,4
67,Public Wifi Distance,0.5916072293360326,2015,4
68,Immigration Percent,0.5914123479444191,2015,4
69,Health Provider Distance,0.5727233176542437,2015,4
70,Sports Center Distance,0.5420024859373611,2015,4
71,Owner Percent,0.5407013914229277,2015,4
72,Cellular Percent,0.4838324529840032,2015,4
73,Uninhabited Percent,0.4493128871384928,2015,4
74,Reported Barrio,0.10358084212856801,2015,4
75,Longitude,0.5244387140318274,2015,5
76,Public Wifi Distance,0.5147794052828183,2015,5
77,Sports Center Distance,0.4696126996455239,2015,5
78,Distance from Public Transportation,0.4544250173154465,2015,5
79,Regular Percent,0.4486406362532098,2015,5
80,Latitude,0.41803708903767856,2015,5
81,Health Provider Distance,0.4006529931179701,2015,5
82,Cellular Percent,0.3752287833307615,2015,5
83,Education Percent,0.3714921083647584,2015,5
84,Immigration Percent,0.3405247931904456,2015,5
85,Uninhabited Percent,0.33744883583031315,2015,5
86,Computer Percent,0.3295198117977112,2015,5
87,Rent Percent,0.31974970588175555,2015,5
88,Owner Percent,0.2955177282411245,2015,5
89,Reported Barrio,0.17018288768599746,2015,5
90,Latitude,0.8738014357483235,2015,6
91,Distance from Public Transportation,0.8559631129322138,2015,6
92,Health Provider Distance,0.8356349080293812,2015,6
93,Longitude,0.8139726401728837,2015,6
94,Sports Center Distance,0.7922661218393423,2015,6
95,Public Wifi Distance,0.7612752387959163,2015,6
96,Owner Percent,0.733220471300652,2015,6
97,Rent Percent,0.7304054833072358,2015,6
98,Education Percent,0.7295548538584459,2015,6
99,Regular Percent,0.7236033678570282,2015,6
100,Immigration Percent,0.7164865479333722,2015,6
101,Computer Percent,0.6789663656617573,2015,6
102,Cellular Percent,0.6717162886191934,2015,6
103,Uninhabited Percent,0.6700196736538166,2015,6
104,Reported Barrio,0.1065306207367065,2015,6
105,Education Percent,0.4868641875156787,2015,7
106,Regular Percent,0.3758720718737077,2015,7
107,Computer Percent,0.3746557138598541,2015,7
108,Owner Percent,0.36618574591871533,2015,7
109,Rent Percent,0.3622219268508462,2015,7
110,Uninhabited Percent,0.34395894458564946,2015,7
111,Immigration Percent,0.32117509355701523,2015,7
112,Public Wifi Distance,0.3109163711974787,2015,7
113,Health Provider Distance,0.30634752093480433,2015,7
114,Longitude,0.28768313522657696,2015,7
115,Cellular Percent,0.2341981096667971,2015,7
116,Distance from Public Transportation,0.22009445031671104,2015,7
117,Sports Center Distance,0.21234696653669166,2015,7
118,Latitude,0.20450001078362368,2015,7
119,Reported Barrio,0.08758666804836768,2015,7
120,Public Wifi Distance,0.4740221881644757,2015,8
121,Latitude,0.4736854648673892,2015,8
122,Longitude,0.4571609590542023,2015,8
123,Health Provider Distance,0.3742780164620125,2015,8
124,Cellular Percent,0.3347586695247564,2015,8
125,Uninhabited Percent,0.3328069085522269,2015,8
126,Regular Percent,0.3303685494289632,2015,8
127,Distance from Public Transportation,0.297661162140114,2015,8
128,Computer Percent,0.2870435064552632,2015,8
129,Sports Center Distance,0.2702284872791569,2015,8
130,Education Percent,0.2528120867420829,2015,8
131,Owner Percent,0.2517560334938582,2015,8
132,Rent Percent,0.20194920086364432,2015,8
133,Immigration Percent,0.1816909163544227,2015,8
134,Reported Barrio,0.032557198721363534,2015,8
135,Sports Center Distance,0.8538600389580377,2015,9
136,Longitude,0.8422114948239541,2015,9
137,Public Wifi Distance,0.836681803529328,2015,9
138,Distance from Public Transportation,0.7899877102720985,2015,9
139,Health Provider Distance,0.7844487237626767,2015,9
140,Latitude,0.7505235207322278,2015,9
141,Cellular Percent,0.6403740574474299,2015,9
142,Regular Percent,0.6367943114952022,2015,9
143,Rent Percent,0.6338942702073433,2015,9
144,Uninhabited Percent,0.6121101430059475,2015,9
145,Computer Percent,0.6052012905335316,2015,9
146,Education Percent,0.5636269026311811,2015,9
147,Owner Percent,0.5607097500546807,2015,9
148,Immigration Percent,0.5305199515678023,2015,9
149,Reported Barrio,0.1273521157702735,2015,9
150,Distance from Public Transportation,0.5045348898065569,2015,10
151,Longitude,0.4898086247757916,2015,10
152,Owner Percent,0.4151927331939431,2015,10
153,Latitude,0.36108552500629054,2015,10
154,Cellular Percent,0.3597228817765106,2015,10
155,Health Provider Distance,0.3528420124883951,2015,10
156,Rent Percent,0.316916414760172,2015,10
157,Immigration Percent,0.30732724253245397,2015,10
158,Education Percent,0.2741165000107082,2015,10
159,Sports Center Distance,0.24432943844071664,2015,10
160,Regular Percent,0.239427661047078,2015,10
161,Public Wifi Distance,0.21646349649721408,2015,10
162,Reported Barrio,0.17463900160112875,2015,10
163,Uninhabited Percent,0.17122912026602188,2015,10
164,Computer Percent,0.16454509292189634,2015,10
165,Sports Center Distance,0.6819707439060805,2015,11
166,Rent Percent,0.6394203025976637,2015,11
167,Latitude,0.6295246512007453,2015,11
168,Distance from Public Transportation,0.609530737856407,2015,11
169,Regular Percent,0.6064060901233965,2015,11
170,Longitude,0.6013666250399945,2015,11
171,Computer Percent,0.6004614544585278,2015,11
172,Owner Percent,0.5893692403152624,2015,11
173,Cellular Percent,0.5799584058721123,2015,11
174,Education Percent,0.576981145890807,2015,11
175,Health Provider Distance,0.5572856583959735,2015,11
176,Uninhabited Percent,0.5288553242109253,2015,11
177,Public Wifi Distance,0.5203172248802033,2015,11
178,Immigration Percent,0.4914130026828785,2015,11
179,Reported Barrio,0.03872184651261601,2015,11
180,Latitude,0.8350327565222373,2015,12
181,Health Provider Distance,0.7249448802617877,2015,12
182,Distance from Public Transportation,0.7248797406413963,2015,12
183,Longitude,0.7133192140375386,2015,12
184,Public Wifi Distance,0.6918291179109781,2015,12
185,Rent Percent,0.665737897449322,2015,12
186,Owner Percent,0.6587938847351329,2015,12
187,Computer Percent,0.6481341690607056,2015,12
188,Sports Center Distance,0.6361831435481231,2015,12
189,Regular Percent,0.6203562218774654,2015,12
190,Cellular Percent,0.6135104249538408,2015,12
191,Education Percent,0.5987599276249065,2015,12
192,Uninhabited Percent,0.5904904972591338,2015,12
193,Immigration Percent,0.559399562431953,2015,12
194,Reported Barrio,0.1615386814787496,2015,12
195,Sports Center Distance,0.18333333333333315,2015,13
196,Distance from Public Transportation,0.09999999999999988,2015,13
197,Uninhabited Percent,0.09999999999999988,2015,13
198,Regular Percent,0.09999999999999988,2015,13
199,Immigration Percent,0.09999999999999988,2015,13
200,Longitude,0.09999999999999988,2015,13
201,Computer Percent,0.06666666666666654,2015,13
202,Public Wifi Distance,0.049999999999999815,2015,13
203,Health Provider Distance,0.0,2015,13
204,Owner Percent,0.0,2015,13
205,Education Percent,0.0,2015,13
206,Rent Percent,0.0,2015,13
207,Cellular Percent,0.0,2015,13
208,Latitude,0.0,2015,13
209,Reported Barrio,0.0,2015,13
210,Latitude,0.4986995777429466,2015,14
211,Owner Percent,0.4886693657341765,2015,14
212,Sports Center Distance,0.4866289517891804,2015,14
213,Public Wifi Distance,0.4822423562574687,2015,14
214,Rent Percent,0.4822340563027527,2015,14
215,Longitude,0.4637633982831053,2015,14
216,Distance from Public Transportation,0.4630183761204018,2015,14
217,Uninhabited Percent,0.4514212634250083,2015,14
218,Education Percent,0.43926159640923146,2015,14
219,Computer Percent,0.438658807694249,2015,14
220,Health Provider Distance,0.4241953313017457,2015,14
221,Regular Percent,0.3937766585581537,2015,14
222,Cellular Percent,0.37568536415389003,2015,14
223,Immigration Percent,0.3593604962813548,2015,14
224,Reported Barrio,0.09956833836345512,2015,14
225,Latitude,0.5128498767963556,2015,15
226,Sports Center Distance,0.4532465254515477,2015,15
227,Distance from Public Transportation,0.4317939022228536,2015,15
228,Health Provider Distance,0.4233674943323926,2015,15
229,Education Percent,0.4202025449095301,2015,15
230,Longitude,0.39877818249134295,2015,15
231,Cellular Percent,0.3975087630948959,2015,15
232,Owner Percent,0.38709609986789895,2015,15
233,Immigration Percent,0.37824236002803996,2015,15
234,Computer Percent,0.3778758243802205,2015,15
235,Rent Percent,0.36963763321998,2015,15
236,Public Wifi Distance,0.356264681264344,2015,15
237,Regular Percent,0.33902012444411955,2015,15
238,Uninhabited Percent,0.3158669745464349,2015,15
239,Reported Barrio,0.056591826452153875,2015,15
240,Public Wifi Distance,0.5811562110116331,2015,16
241,Health Provider Distance,0.5767514552034805,2015,16
242,Latitude,0.5506326176494958,2015,16
243,Rent Percent,0.4859365794101596,2015,16
244,Sports Center Distance,0.4692591842704084,2015,16
245,Cellular Percent,0.4519479373024224,2015,16
246,Distance from Public Transportation,0.4361569755499137,2015,16
247,Computer Percent,0.4276200836775734,2015,16
248,Longitude,0.4242681970387161,2015,16
249,Immigration Percent,0.41742500521296977,2015,16
250,Education Percent,0.3722212341433022,2015,16
251,Regular Percent,0.3574883507678628,2015,16
252,Owner Percent,0.3285749564119187,2015,16
253,Uninhabited Percent,0.28345763075705444,2015,16
254,Reported Barrio,0.12576433340703108,2015,16
255,Public Wifi Distance,0.3442743016194045,2015,17
256,Sports Center Distance,0.32965992044203585,2015,17
257,Distance from Public Transportation,0.2933962211545378,2015,17
258,Cellular Percent,0.2903576724010821,2015,17
259,Health Provider Distance,0.2833590461706543,2015,17
260,Education Percent,0.2747691208294767,2015,17
261,Rent Percent,0.25285145527687103,2015,17
262,Longitude,0.2358081098559288,2015,17
263,Computer Percent,0.23213217572451986,2015,17
264,Reported Barrio,0.22120146589876333,2015,17
265,Owner Percent,0.2130473267543409,2015,17
266,Latitude,0.21006847593128564,2015,17
