dataset_date,id_left,created_on,operation,property_type,place_name,country_name,state_name,geonames_id,lat_lon,lat_x,lat_x,lat_x,lon_x,lon_x,lon_x,price,currency,price_aprox_local_currency,price_aprox_usd,coordinates,barrio,comuna,AREA,Commune,b_id,Computer Percent,Computer Quantile,Cellular Percent,Cellular Quantile,Rent Percent,Rent Quantile,Immigration Percent,Immigration Quantile,Education Percent,Education Quantile,Owner Percent,Owner Quantile,Regular Percent,Regular Quantile,Uninhabited Percent,Uninhabited Quantile,health_long,health_lat,health_object,health_id,health_name,health_comune,health_distance,property_values_Commune,property_values_Longitude,property_values_Latitude,property_values_Date,property_values_Value in US Dollars,property_values_Value of m2 (US Dollars),property_values_m2,property_values_b_id,property_values_distance,Year,Distance in m,Time Dif,$ Dif,public_wifi_lat,public_wifi_long,public_wifi_id,public_wifi_object,public_wifi_name,public_wifi_comune,public_wifi_distance,sports_long,sports_lat,sports_id,sports_object,sports_name,sports_comune,sports_distance,transportation_long,transportation_lat,transportation_id,transportation_object,transportation_name,transportation_distance
201501,d6b30bd57a5dd82bda0850c92b6c022e7413ae31,42020,sell,apartment,NUNEZ,Argentina,Capital Federal,3430348,"-34.5408967005,-58.4724463229",-34.5408967,-34.5408967,-34.5408967,-58.47244632,-58.47244632,-58.47244632,129000,USD,2228410.5,129000,POINT (-58.47244632 -34.5408967),NUÌÔEZ,13,33805.13,13,2,79,8,89.3,7,22,2,9.3,3,48.3,7,59,5,81,1,7.5,8,-58.47327302,-34.54187599,pharmacy,0,0,13,0.001281574,13,-58.4724468,-34.54089554,42156,699996,3181.8,220,2,0.00000126,2015,0.136272909,136,570996,-34.54188757,-58.4735911,758,public WiFi location,"Metrobus Norte, EstaciÌÄå_n Deheza",13,0.001514053,-58.46366917,-34.54197507,0,sports federation,FederaciÌÄå_n de Cestoball de Capital Federal,13,0.008843144,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.103441658
201506,141e74514ae355c4f78ce717a700ae2856eb02c8,42153,sell,apartment,SAAVEDRA,Argentina,Capital Federal,3429422,"-34.5442124868,-58.4789832091",-34.54421249,-34.54421249,-34.54421249,-58.47898321,-58.47898321,-58.47898321,95000,USD,1641077.5,95000,POINT (-58.47898321 -34.54421249),SAAVEDRA,12,79052.56,12,15,78.5,8,87.3,4,21.1,2,7.7,2,38.8,5,65.8,7,86.8,4,2.8,4,-58.4767676,-34.5444906,pharmacy,0,0,12,0.002232995,12,-58.47898345,-34.54421125,42156,280005,1866.7,150,15,0.00000127,2015,0.139622792,3,185005,-34.54409658,-58.47735334,840,public WiFi location,"Parques y Plazas, Plaza BenjamÌÄå_n VicuÌÄå±a Mackenna",12,0.001633982,-58.48358555,-34.54641659,0,sports federation,FederaciÌÄå_n Argentina de Patinaje sobre Hielo,12,0.005102897,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.10106931
201507,cc59e0568d17299d55fcf0fd2d57553951649c45,42106,sell,apartment,BELGRANO,Argentina,Capital Federal,3436077,"-34.5576191802,-58.4467492588",-34.55761918,-34.55761918,-34.55761918,-58.44674926,-58.44674926,-58.44674926,85000,USD,1468332.5,85000,POINT (-58.44674926 -34.55761918),BELGRANO,13,15478.63,13,1,74.7,6,87.1,4,36.7,7,10.9,5,52.6,8,54.5,3,91.2,7,2.7,3,-58.44648842,-34.55761469,pharmacy,0,0,13,0.000260877,13,-58.44675046,-34.55761734,42156,2499985.6,3078.8,812,1,0.0000022,2015,0.232242146,50,2414985.6,-34.56125034,-58.44863144,185,public WiFi location,Reina Batata (Infantil),13,0.004089976,-58.4431558,-34.55883885,13,stadium,Coliseo del Bajo Belgrano,13,0.00379481,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.087389785
201507,1f0faa30f0e01c2f1ed208a9afd9bdea693e0e34,42156,sell,apartment,COGHLAN,Argentina,Capital Federal,3435359,"-34.5578217424,-58.4776473245",-34.55782174,-34.55782174,-34.55782174,-58.47764732,-58.47764732,-58.47764732,75000,USD,1295587.5,75000,POINT (-58.47764732 -34.55782174),COGHLAN,12,77590.75,12,42,74.3,6,90.5,8,24,3,8.9,3,36.4,5,65.9,7,89.9,6,0.7,0,-58.47937481,-34.55695715,pharmacy,0,0,12,0.001931769,12,-58.47764751,-34.55782005,42156,590007.6,2521.4,234,42,0.00000171,2015,0.188723038,0,515007.6,-34.56494994,-58.47111328,342,public WiFi location,Htal. Pirovano,12,0.009669793,-58.48358555,-34.54641659,0,sports federation,FederaciÌÄå_n Argentina de Patinaje sobre Hielo,12,0.012858462,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.08744041
201503,842e4216f54ddc7777742d96723dd86c90e6ff05,42130,sell,PH,VILLA URQUIZA,Argentina,Capital Federal,3433775,"-34.565477111,-58.4872231565",-34.56547711,-34.56547711,-34.56547711,-58.48722316,-58.48722316,-58.48722316,180000,USD,3083850,180000,POINT (-58.48722316 -34.56547711),VILLA URQUIZA,12,73167.25,12,14,75.7,6,87.4,5,20.5,1,7.4,1,37.7,5,63.9,6,84.4,2,3.1,4,-58.486396,-34.56520715,neighborhood medical center,35,CMB NÌâå¡17,12,0.0008701,12,-58.48722297,-34.56547521,42156,235009.2,1169.2,201,14,0.00000191,2015,0.211985301,26,55009.2,-34.5687931,-58.48291743,1326,public WiFi location,Sede de Comuna 12 RC,12,0.00543462,-58.49851028,-34.55310244,15,sports center,SARMIENTO,12,0.016749079,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.082400366
201501,4d379f514efced23a00d3a01afc182da0cbed426,42005,sell,apartment,BELGRANO,Argentina,Capital Federal,3436077,"-34.567810719,-58.4489348959",-34.56781072,-34.56781072,-34.56781072,-58.4489349,-58.4489349,-58.4489349,178000,USD,3074861,178000,POINT (-58.44893489999999 -34.56781072),PALERMO,14,8862.125,14,0,79,8,86.2,3,29.5,5,8.6,3,49.5,7,56.7,4,86.2,3,1.3,1,-58.44884093,-34.56819482,pharmacy,0,0,13,0.000395423,14,-58.44893596,-34.56780855,42156,1680008.4,4107.6,409,0,0.00000241,2015,0.260081591,151,1502008.4,-34.5677946,-58.44902817,818,public WiFi location,"Metrobus Norte, EstaciÌÄå_n Zabala",13,0.0000947,-58.44145403,-34.57193188,0,sports federation,AsociaciÌÄå_n Metropolitana de Squash,13,0.008540929,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.076976833
201510,14467572b8f56431fd289b24aa93de5fe68c4996,42067,sell,apartment,VILLA URQUIZA,Argentina,Capital Federal,3433775,"-34.5691775495,-58.4798806077",-34.56917755,-34.56917755,-34.56917755,-58.47988061,-58.47988061,-58.47988061,145000,USD,2504802.5,145000,POINT (-58.47988061 -34.56917755),VILLA URQUIZA,12,37931.31,12,14,73.8,6,86.9,4,28.4,4,6.7,1,36.9,5,61.6,6,89.9,6,3.1,4,-58.47907554,-34.57025504,pharmacy,0,0,12,0.001345032,12,-58.47988064,-34.56917549,42156,360010,973,370,14,0.00000206,2015,0.229077825,89,215010,-34.56965107,-58.47710477,854,public WiFi location,"Parques y Plazas, Plaza Paseo de la Paz",12,0.002815935,-58.46386217,-34.5588536,0,sports federation,AsociaciÌÄå_n Metropolitana de Tenis Adaptado,13,0.019057136,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.076812829
201510,d75e66050e6f10dfc1b9341b4db213fcc3b3a0f6,42093,sell,apartment,VILLA URQUIZA,Argentina,Capital Federal,3433775,"-34.5700420546,-58.4865468456",-34.57004205,-34.57004205,-34.57004205,-58.48654685,-58.48654685,-58.48654685,149500,USD,2582537.75,149500,POINT (-58.48654685 -34.57004205),VILLA URQUIZA,12,39541.69,12,14,81.3,8,94.1,9,35.4,7,5.3,0,51.5,8,46.4,2,81.8,1,10.3,9,-58.48810157,-34.57321941,pharmacy,0,0,12,0.003537342,12,-58.48654483,-34.57004226,42156,1090000,2725,400,14,0.00000203,2015,0.186422546,63,940500,-34.57191703,-58.48940863,851,public WiFi location,"Parques y Plazas, Plaza EcheverrÌÄå_a",12,0.00342131,-58.49851028,-34.55310244,15,sports center,SARMIENTO,12,0.02073823,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.07785646
201502,26713e9d181dd6917f015a2e1081dafea5f87bea,42132,sell,apartment,VILLA URQUIZA,Argentina,Capital Federal,3433775,"-34.5732284393,-58.4823786126",-34.57322844,-34.57322844,-34.57322844,-58.48237861,-58.48237861,-58.48237861,85000,USD,1456262.5,85000,POINT (-58.48237861 -34.57322844),VILLA URQUIZA,12,28052.38,12,14,75.4,6,86.3,3,31.4,6,5.9,0,39.4,5,60.8,5,92.2,8,6.8,8,-58.48042347,-34.57313622,pharmacy,0,0,12,0.001957317,12,-58.48237959,-34.57322501,42156,850001.8,3307.4,257,14,0.00000357,2015,0.391810615,24,765001.8,-34.57617669,-58.48356811,1305,public WiFi location,Teatro 25 de Mayo,12,0.003179169,-58.47677201,-34.5916365,4,sports center,COSTA RICA,15,0.019242936,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.073556181
201504,d2585bfbd7abbb12886058c8baabe555e99d90bf,42106,sell,apartment,VILLA URQUIZA,Argentina,Capital Federal,3433775,"-34.5736051243,-58.4806410291",-34.57360512,-34.57360512,-34.57360512,-58.48064103,-58.48064103,-58.48064103,110000,USD,1884575,110000,POINT (-58.48064103 -34.57360512),VILLA URQUIZA,12,31169.13,12,14,78.2,7,91.2,8,36.1,7,7,1,50.9,7,54.3,3,90.4,6,2.9,4,-58.48042347,-34.57313622,pharmacy,0,0,12,0.000516917,12,-58.48064101,-34.57360292,42156,900000,3600,250,14,0.0000022,2015,0.244635486,50,790000,-34.57617669,-58.48356811,1305,public WiFi location,Teatro 25 de Mayo,12,0.003896254,-58.47677201,-34.5916365,4,sports center,COSTA RICA,15,0.018441798,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.072718306
