barrio,Total,Cheat number,% cheatRate on labeling,Computer Percent,Cellular Percent,Rent Percent,immigration Percent,Education Percent,Owner Percent,Regular Percent,Uninhabited Percent,property_values_Value in US Dollars,property_values_Value of m2 (US Dollars),%of highest price
VILLA RIACHUELO,103,78,75.72815534,61.339805,81.427184,21.398058,13.262135,15.485436,67.213592,89.097087,2.504854,364577.5631,549.019417,10.72094155
NUEVA POMPEYA,440,288,65.45454545,57.122727,83.538636,31.23409,16.886363,14.690909,57.870454,89.60909,1.845454,368877.9932,667.004545,13.0248886
VELEZ SARSFIELD,907,478,52.70121279,67.187431,85.54355,24.670341,11.41345,26.073869,62.811466,87.734288,2.665931,308054.9493,923.964718,18.04266194
AGRONOMIA,335,152,45.37313433,72.797014,86.522388,20.937313,6.81194,34.438805,66.462686,87.871641,1.910447,260913.9343,896.185074,17.50019672
PARQUE AVELLANEDA,720,321,44.58333333,61.795833,84.568055,24.320833,17.123611,19.191666,62.806944,87.441666,2.051388,243610.2736,801.302777,15.64738873
PARQUE CHAS,621,269,43.31723027,70.280193,85.557165,23.745571,9.309178,28.086956,62.789049,87.156199,2.381642,478446.5072,1315.747181,25.69316893
VILLA ORTUZAR,1055,441,41.80094787,72.917535,87.806635,25.893838,9.031279,34.932701,57.945971,84.302369,2.569668,400764.0749,1165.602843,22.76123497
VILLA SANTA RITA,827,342,41.35429262,69.5659,86.697702,25.05925,11.349455,27.681983,63.090689,88.470374,3.517533,323480.9915,965.660217,18.85686813
VILLA GRAL. MITRE,1016,399,39.27165354,68.262795,86.052165,28.228346,11.416338,27.627952,52.812007,81.422244,2.753937,458291.6457,949.245078,18.53632255
MONTE CASTRO,832,320,38.46153846,66.489182,84.433894,23.066105,9.114182,24.131009,64.486778,88.090144,2.954326,317216.4651,845.002403,16.50073038
CHACARITA,1509,550,36.44797879,70.660039,87.808482,31.739562,11.774022,36.37442,51.770709,83.971504,2.790589,607284.4414,1606.093439,31.36288692
COLEGIALES,1894,661,34.89968321,77.323125,89.034846,27.654171,7.635163,49.566525,58.131467,86.277719,3.18321,644503.717,1820.68057,35.55322339
RETIRO,2464,763,30.96590909,73.652597,88.081168,33.513392,16.446834,55.01948,50.996347,84.878246,8.648944,4288389.411,4791.397727,93.56371269
CONSTITUCION,1636,427,26.1002445,57.61308,85.120415,47.493887,17.468826,27.306234,37.232273,85.23044,4.435207,581729.8087,1226.415036,23.94874118
VILLA REAL,197,45,22.84263959,68.492385,84.837563,20.015228,8.588832,26.253807,68.045685,88.538071,2.076142,198186.401,627.238578,12.24836122
VILLA SOLDATI,83,18,21.68674699,37.614457,70.686746,19.39759,23.385542,4.361445,48.180722,67.783132,0.710843,189759.9518,348.421686,6.803782191
COGHLAN,1096,237,21.62408759,80.004562,90.597627,25.067518,7.385036,47.215328,62.700729,88.041058,3.018248,371808.0958,998.625912,19.50060363
MONSERRAT,2620,490,18.70229008,61.571755,85.996183,46.647709,16.557251,34.917175,35.903435,82.833969,4.483206,1162204.159,1836.277862,35.85779852
PARQUE CHACABUCO,1784,329,18.44170404,68.946748,85.659192,24.613789,12.497197,28.913116,62.376121,87.411995,2.049887,324331.7702,959.159192,18.72991978
PATERNAL,460,81,17.60869565,65.365217,87.047826,31.671739,13.304347,22.267391,55.313043,87.467391,2.793478,283381.2609,752,14.68463191
LINIERS,1619,269,16.61519456,64.30142,84.604076,25.649783,10.786905,22.754169,62.299567,88.460778,3.715873,237791.1921,829.781346,16.20350217
VERSALLES,265,41,15.47169811,70.147169,85.641509,17.566037,7.290566,29.403773,73.150943,91.203773,2.449056,301793.2075,899.649056,17.56783941
NUÑEZ,2912,405,13.90796703,79.241071,90.431318,27.23695,7.579326,50.552197,58.142513,85.795329,5.333447,733848.5505,1931.40625,37.71541203
FLORESTA,1191,163,13.68597817,62.712846,85.041981,30.99916,16.979848,25.652392,53.808564,85.280436,2.899244,289434.016,1005.15785,19.62815563
BOCA,1308,171,13.0733945,62.019113,84.902905,32.26529,11.750764,20.090214,48.455657,81.374617,2.287461,763242.0604,808.386085,15.78570758
